"id","product_name","ccy"
539,"Jaxx Liberty","SALT"
540,"Jaxx Liberty","ShipChain"
541,"Jaxx Liberty","Santiment Network Token"
542,"Jaxx Liberty","iExec RLC"
543,"Jaxx Liberty","Augur"
544,"Jaxx Liberty","Ripio Credit Network"
545,"Jaxx Liberty","Quantum"
546,"Jaxx Liberty","Presearch"
547,"Jaxx Liberty","PayPie"
548,"Jaxx Liberty","Shivom"
549,"Jaxx Liberty","Enzyme"
550,"Jaxx Liberty","Musiconomi"
551,"Jaxx Liberty","Metronome"
552,"Jaxx Liberty","Winding Tree"
553,"Jaxx Liberty","Iconomi"
554,"Jaxx Liberty","HBZ Coin"
555,"Jaxx Liberty","Matchpool"
556,"Jaxx Liberty","Golem"
557,"Jaxx Liberty","Gnosis"
558,"Jaxx Liberty","Ethereum Classic"
559,"Jaxx Liberty","Enjin Coin"
560,"Jaxx Liberty","Edgeless"
561,"Jaxx Liberty","DomRaider"
562,"Jaxx Liberty","Dogecoin"
563,"Jaxx Liberty","DigixDAO"
564,"Jaxx Liberty","Dentacoin"
565,"Jaxx Liberty","Civic"
566,"Jaxx Liberty","Creditbit"
567,"Jaxx Liberty","Bitclave"
568,"Jaxx Liberty","Bancor"
569,"Jaxx Liberty","Blockmason"
570,"Jaxx Liberty","Bitcoin Cash"
571,"Jaxx Liberty","Brickblock"
572,"Jaxx Liberty","Basic Attention Token"
573,"Jaxx Liberty","Maecenas"
574,"Jaxx Liberty","Aion"
575,"Jaxx Liberty","Aragon"
576,"Jaxx Liberty","FirstBlood"
577,"Jaxx Liberty","Dash"
578,"Jaxx Liberty","Zcash"
579,"Jaxx Liberty","Litecoin"
580,"Jaxx Liberty","Ethereum"
581,"Jaxx Liberty","Bitcoin"
582,"AnkerPay","Nano"
583,"AnkerPay","Polygon"
584,"AnkerPay","Paxos Standard"
585,"AnkerPay","Dogecoin"
586,"AnkerPay","Dash"
587,"AnkerPay","Litecoin"
588,"AnkerPay","Ethereum"
589,"AnkerPay","Bitcoin"
590,"CoinMarketCap","Decred"
591,"CoinMarketCap","Bitcoin Gold"
592,"CoinMarketCap","Nano"
593,"CoinMarketCap","Qtum"
594,"CoinMarketCap","0x"
595,"CoinMarketCap","Ontology"
596,"CoinMarketCap","Bytecoin"
597,"CoinMarketCap","Lisk"
598,"CoinMarketCap","Dogecoin"
599,"CoinMarketCap","Zcash"
600,"CoinMarketCap","Tezos"
601,"CoinMarketCap","NEM"
602,"CoinMarketCap","VeChain"
603,"CoinMarketCap","BNB"
604,"CoinMarketCap","Ethereum Classic"
605,"CoinMarketCap","Neo"
606,"CoinMarketCap","TRON"
607,"CoinMarketCap","Dash"
608,"CoinMarketCap","IOTA"
609,"CoinMarketCap","Monero"
610,"CoinMarketCap","Cardano"
611,"CoinMarketCap","Tether"
612,"CoinMarketCap","Litecoin"
613,"CoinMarketCap","Stellar"
614,"CoinMarketCap","EOS"
615,"CoinMarketCap","Bitcoin Cash"
616,"CoinMarketCap","XRP"
617,"CoinMarketCap","Ethereum"
618,"CoinMarketCap","Bitcoin"
619,"Vitae.co","Vitae"
620,"Blockchain Wallet","Bitcoin Cash"
621,"Blockchain Wallet","Ethereum"
622,"Blockchain Wallet","Bitcoin"
623,"Ledger Nano S","Hshare"
624,"Ledger Nano S","PoSW Coin"
625,"Ledger Nano S","Nimiq"
626,"Ledger Nano S","Nano"
627,"Ledger Nano S","Bitcoin Private"
628,"Ledger Nano S","ZenCash"
629,"Ledger Nano S","Peercoin"
630,"Ledger Nano S","PIVX"
631,"Ledger Nano S","Qtum"
632,"Ledger Nano S","Neo"
633,"Ledger Nano S","Viacoin"
634,"Ledger Nano S","DigiByte"
635,"Ledger Nano S","Vertcoin"
636,"Ledger Nano S","Ubiq"
637,"Ledger Nano S","Stellar"
638,"Ledger Nano S","Stealth"
639,"Ledger Nano S","Expanse"
640,"Ledger Nano S","Ark"
641,"Ledger Nano S","Komodo"
642,"Ledger Nano S","Stratis"
643,"Ledger Nano S","Litecoin"
644,"Ledger Nano S","Ethereum Classic"
645,"Ledger Nano S","Dash"
646,"Ledger Nano S","Bitcoin Gold"
647,"Ledger Nano S","Zcash"
648,"Ledger Nano S","Dogecoin"
649,"Ledger Nano S","Bitcoin Cash"
650,"Ledger Nano S","XRP"
651,"Ledger Nano S","Ethereum"
652,"Ledger Nano S","Bitcoin"
653,"Plark","Dash"
654,"Plark","Ethereum"
655,"Plark","Litecoin"
656,"Plark","Bitcoin"
657,"MakerDAO","Ethereum"
658,"MakerDAO","Dai"
659,"MakerDAO","Single Collateral DAI"
660,"MakerDAO","Maker"
661,"Opera","Ethereum"
662,"StormX","Dai"
663,"StormX","Litecoin"
664,"StormX","Ethereum"
665,"StormX","Bitcoin"
666,"StormX","StormX"
667,"Bitamp","Bitcoin"
668,"SPADESBOOM","Bitcoin"
669,"1xBit","EOS"
670,"SwissBorg Wealth App","Bitcoin Cash"
671,"SwissBorg Wealth App","Litecoin"
672,"SwissBorg Wealth App","XRP"
673,"SwissBorg Wealth App","Ren"
674,"SwissBorg Wealth App","Compound"
675,"SwissBorg Wealth App","Dai"
676,"SwissBorg Wealth App","Kyber Network"
677,"SwissBorg Wealth App","BNB"
678,"SwissBorg Wealth App","Enjin Coin"
679,"SwissBorg Wealth App","PAX Gold"
680,"SwissBorg Wealth App","USD Coin"
681,"SwissBorg Wealth App","SwissBorg"
682,"SwissBorg Wealth App","Ethereum"
683,"SwissBorg Wealth App","Bitcoin"
684,"Coins.ph","XRP"
685,"Coins.ph","Bitcoin Cash"
686,"Coins.ph","Ethereum"
687,"Coins.ph","Bitcoin"
688,"Bitcoin Wallet","Maker"
689,"Bitcoin Wallet","Huobi Token"
690,"Bitcoin Wallet","UNUS SED LEO"
691,"Bitcoin Wallet","Augur"
692,"Bitcoin Wallet","0x"
693,"Bitcoin Wallet","Qtum"
694,"Bitcoin Wallet","Chainlink"
695,"Bitcoin Wallet","VeChain"
696,"Bitcoin Wallet","Dogecoin"
697,"Bitcoin Wallet","Neo"
698,"Bitcoin Wallet","IOTA"
699,"Bitcoin Wallet","Cosmos"
700,"Bitcoin Wallet","Cardano"
701,"Bitcoin Wallet","Paxos Standard"
702,"Bitcoin Wallet","TrueUSD"
703,"Bitcoin Wallet","Zcash"
704,"Bitcoin Wallet","Ethereum Classic"
705,"Bitcoin Wallet","Tezos"
706,"Bitcoin Wallet","Stellar"
707,"Bitcoin Wallet","TRON"
708,"Bitcoin Wallet","EOS"
