"id","person_name","work"
342,"Adam Todd","Digitex Token -CEO & Lead Developer"
343,"Mahbod Moghadam","Mahbod -Inc. - Angel Investor"
344,"Mahbod Moghadam","Mucker Capital - Entrepreneur-in-Residence"
345,"Andrew Yang","ProPhase -LLC - Director"
346,"Andrew Yang","Venture for America - CEO & Founder"
347,"Andrew Yang","Yang2020 - Presidential Candidate"
348,"David Schwartz","Ripple -CTO"
349,"Kelly Loeffler","Atlanta Dream WNBA - Co-Owner & Co-Chairman"
350,"Kelly Loeffler","Bakkt -Former CEO"
351,"Kelly Loeffler","United States Senate - Senator"
352,"Justin Sunerok","Verge -Founder & Lead Developer"
353,"Akon","Akoin -Creator"
354,"Zia Word","Crypto Queens - CEO"
355,"Zia Word","Findy Ventures - Founder"
356,"Anthony Xie","HodlBot -Founder"
357,"Alex Batlin","Trustology - CEO & Founder"
358,"Ben Delo","BitMEX -Co-Founder"
359,"Vignesh Sundaresan","Lendroid -Founder & Lead Architect"
360,"Jonathan Leong","BTSE -CEO & Co-Founder"
361,"Ebru Güven","Istanbul Blockchain Women - Co-Founder"
362,"Sinan Koç","BiLira - CEO & Founder"
363,"Alexandre Kech","Onechain Custodian - CEO"
364,"Gustav Arentoft","MakerDAO -Biz Dev Rep."
365,"Burcak Ünsal","Ünsal Law Firm - Managing Partner"
366,"Baris Ozistek","Boğaziçi Ventures - Chairman"
367,"Uğur İbrahim Altay","City of Konya - Mayor"
368,"Camila Russo","The Defiant - Founder"
369,"Cagla Gul Senkardes","MenaPay - CEO"
370,"Soravis Srinawakoon","Band Protocol -CEO & Co-Founder"
371,"Angela Tong","CoinTime - COO"
372,"Xiong Yidan","BeeCast - Co-Founder"
373,"Lennix Lai","OKX -Director of Financial Markets"
374,"Burak Aydın","SabancıDx - General Manager"
375,"Mark Zuckerberg","Meta -CEO & Founder"
376,"Samson Mow","Pixelmatic - Founder & CEO"
377,"Samson Mow","Blockstream -Chief Strategy Officer"
378,"Lior Yaffe","Nxt -Senior Java Developer"
379,"Lior Yaffe","Ardor -Senior Java Developer"
380,"Lior Yaffe","Jelurida -Co-Founder and Director"
381,"Jed McCaleb","Machine Intelligence Research Institute - Advisor"
382,"Jed McCaleb","Stellar Development Foundation -Chief Architect"
383,"Jed McCaleb","Stellar -Co-Founder"
384,"Andreas Antonopoulos","Third Key Solutions - CTO"
385,"Andreas Antonopoulos","Mastering Bitcoin - Author"
386,"Balaji Srinivasan","Stanford University - Lecturer -Departments of Statistics and Computer Science"
387,"Balaji Srinivasan","Coin Center -Co-Founder and Board Member"
388,"Simon Yu","StormX -CEO & Co-Founder"
