"id","sector","token_name"
644,"Abandoned","Digital Bullion Gold"
645,"PoW","TodayCoin"
646,"Coin","TodayCoin"
647,"Abandoned","TodayCoin"
648,"PoW","Motocoin"
649,"Gaming","Motocoin"
650,"Coin","Motocoin"
651,"Abandoned","Motocoin"
652,"PoS","Fazzcoin"
653,"Coin","Fazzcoin"
654,"Abandoned","Fazzcoin"
655,"PoS","LePen"
656,"Coin","LePen"
657,"Abandoned","LePen"
658,"PoW","BetaCoin"
659,"Inactive","BetaCoin"
660,"Coin","BetaCoin"
661,"Abandoned","BetaCoin"
662,"PoW","GoldMaxCoin"
663,"Coin","GoldMaxCoin"
664,"Abandoned","GoldMaxCoin"
665,"PoS","India Coin"
666,"Inactive","India Coin"
667,"Coin","India Coin"
668,"PoW","IrishCoin"
669,"Inactive","IrishCoin"
670,"Coin","IrishCoin"
671,"PoW","Tyrocoin"
672,"PoS","Tyrocoin"
673,"Coin","Tyrocoin"
674,"PoS","BITFID"
675,"Inactive","BITFID"
676,"Coin","BITFID"
677,"PoW","UR"
678,"Coin","UR"
679,"Abandoned","UR"
680,"PoW","Sharkcoin"
681,"Coin","Sharkcoin"
682,"Abandoned","Sharkcoin"
683,"PoS","Avoncoin"
684,"Coin","Avoncoin"
685,"Abandoned","Avoncoin"
686,"PoW","Yescoin"
687,"PoS","Yescoin"
688,"Coin","Yescoin"
689,"PoW","NamoCoin"
690,"PoS","NamoCoin"
691,"Inactive","NamoCoin"
692,"Coin","NamoCoin"
693,"PoW","BestChain"
694,"PoS","BestChain"
695,"Inactive","BestChain"
696,"Coin","BestChain"
697,"Abandoned","BestChain"
698,"PoS","PeepCoin"
699,"Coin","PeepCoin"
700,"PoS","Quotient"
701,"Coin","Quotient"
702,"PoW","MarxCoin"
703,"Coin","MarxCoin"
704,"PoS","UniversalRoyalCoin"
705,"Coin","UniversalRoyalCoin"
706,"Abandoned","UniversalRoyalCoin"
707,"PoW","Voyacoin"
708,"Coin","Voyacoin"
709,"Abandoned","Voyacoin"
710,"Coin","RabbitCoin"
711,"Abandoned","RabbitCoin"
712,"PoW","ZSEcoin"
713,"PoS","ZSEcoin"
714,"Coin","ZSEcoin"
715,"PoW","AsicCoin"
716,"Coin","AsicCoin"
717,"Abandoned","AsicCoin"
718,"PoW","Pirate Blocks"
719,"PoS","Pirate Blocks"
720,"Coin","Pirate Blocks"
721,"PoW","WA Space"
722,"Inactive","WA Space"
723,"Coin","WA Space"
724,"PoS","Interstellar Holdings"
725,"Inactive","Interstellar Holdings"
726,"Coin","Interstellar Holdings"
727,"PoW","GanjaCoin"
728,"PoS","GanjaCoin"
729,"Inactive","GanjaCoin"
730,"Coin","GanjaCoin"
731,"Cannabis","GanjaCoin"
732,"PoW","Safe Trade Coin"
733,"PoS","Safe Trade Coin"
734,"Inactive","Safe Trade Coin"
735,"Coin","Safe Trade Coin"
736,"PoW","BatCoin"
737,"Coin","BatCoin"
738,"Abandoned","BatCoin"
739,"PoW","AdCoin"
740,"Inactive","AdCoin"
741,"Coin","AdCoin"
742,"Advertising","AdCoin"
743,"PoS","Bubble"
744,"Coin","Bubble"
745,"PoW","Skeincoin"
746,"Inactive","Skeincoin"
747,"Coin","Skeincoin"
748,"PoW","XTD Coin"
749,"PoS","XTD Coin"
750,"Inactive","XTD Coin"
751,"Coin","XTD Coin"
752,"PoW","Rcoin"
753,"Coin","Rcoin"
754,"PoW","MorningStar"
755,"PoS","MorningStar"
756,"Inactive","MorningStar"
757,"Coin","MorningStar"
758,"PoS","Abjcoin"
759,"Inactive","Abjcoin"
760,"Coin","Abjcoin"
761,"PoS","Zilbercoin"
762,"Coin","Zilbercoin"
763,"PoW","SHIELD"
764,"Coin","SHIELD"
765,"PoS","ATMCoin"
766,"Coin","ATMCoin"
767,"PoW","AmsterdamCoin"
768,"PoS","AmsterdamCoin"
769,"Coin","AmsterdamCoin"
770,"PoW","DFSCoin"
771,"PoS","DFSCoin"
772,"Inactive","DFSCoin"
773,"Gaming","DFSCoin"
774,"Coin","DFSCoin"
775,"PoS","Aces"
776,"Coin","Aces"
777,"Abandoned","Aces"
778,"PoW","Granite"
779,"Inactive","Granite"
780,"Coin","Granite"
781,"Abandoned","Granite"
782,"PoW","Tellurion"
783,"PoS","Tellurion"
784,"Coin","Tellurion"
785,"Abandoned","Tellurion"
786,"PoW","Pabyosi Coin (Special)"
787,"PoS","Pabyosi Coin (Special)"
788,"Coin","Pabyosi Coin (Special)"
789,"PoW","Primulon"
790,"PoS","Primulon"
791,"Coin","Primulon"
792,"Abandoned","Primulon"
793,"PoW","TerraNova"
794,"Coin","TerraNova"
795,"PoW","Bitcoin Unlimited"
796,"Inactive","Bitcoin Unlimited"
797,"Coin","Bitcoin Unlimited"
798,"PoW","Cheapcoin"
799,"PoS","Cheapcoin"
800,"Inactive","Cheapcoin"
801,"Coin","Cheapcoin"
802,"PoW","Grimcoin"
803,"PoS","Grimcoin"
804,"Coin","Grimcoin"
805,"PoW","High Gain"
806,"PoS","High Gain"
807,"Gambling","High Gain"
808,"Coin","High Gain"
809,"PoW","CHNCoin"
810,"Inactive","CHNCoin"
811,"Coin","CHNCoin"
812,"Abandoned","CHNCoin"
813,"PoW","BenjiRolls"
